Trx,FPKM_mean_M,Linkage
CAF2750623.1,0.0743951666666667,Auto
CAF2750638.1,0.101541833333333,Auto
CAF2750653.1,0.235626,Auto
CAF2750669.1,0.418419666666667,Auto
CAF2750683.1,65.8468833333333,Auto
CAF2750700.1,3.86951116666667e-08,Auto
CAF2750716.1,1.2015495,Auto
CAF2750732.1,15.608117,Auto
CAF2750746.1,0.5282615,Auto
CAF2750763.1,0.891575333333333,Auto
CAF2750778.1,20.5975333333333,Auto
CAF2750793.1,52.7531666666667,Auto
CAF2750808.1,0.185154666666667,Auto
CAF2750825.1,0.572954833333333,Auto
CAF2750841.1,2.0082949683182,Auto
CAF2750856.1,10.4397753333333,Auto
CAF2750871.1,0,Auto
CAF2750887.1,1.35210666666667,Auto
CAF2750902.1,28.428875,Auto
CAF2750918.1,21.8404526666667,Auto
CAF2750934.1,146.181357833333,Auto
CAF2750948.1,184.898047333333,Auto
CAF2750963.1,280.493563333333,Auto
CAF2750968.1,19.6216833333333,Auto
CAF2750984.1,1.99423666666667,Auto
CAF2751000.1,31.7241908333333,Auto
CAF2751015.1,31.84345,Auto
CAF2751029.1,0,Auto
CAF2751044.1,17.747574,Auto
CAF2751060.1,19.10989,Auto
CAF2751077.1,13.6494616666667,Auto
CAF2751092.1,68.4331666666667,Auto
CAF2751105.1,4.10552153333333,Auto
CAF2751120.1,4.28019803876457,Auto
CAF2751133.1,31.1078543333333,Auto
CAF2751148.1,48.0223833333333,Auto
CAF2751163.1,30.1636833333333,Auto
CAF2751178.1,47.0462,Auto
CAF2751193.1,72.8269666666667,Auto
CAF2751207.1,0.315302666666667,Auto
CAF2751222.1,72.75575,Auto
CAF2751237.1,38.8683216666667,Auto
CAF2751254.1,124.67065,Auto
CAF2751270.1,16.9865466666667,Auto
CAF2751285.1,18.4093866666667,Auto
CAF2751300.1,3494.46183333333,Auto
CAF2751314.1,21.9186766666667,Auto
CAF2751330.1,14.8974366666667,Auto
CAF2751345.1,0.164692,Auto
CAF2751360.1,120.432366666667,Auto
CAF2751374.1,27.8476883333333,Auto
CAF2751389.1,22.7899166666667,Auto
CAF2751403.1,27.272,Auto
CAF2751417.1,31.6198166666667,Auto
CAF2751433.1,78.9030166666667,Auto
CAF2751448.1,320.024666666667,Auto
CAF2751464.1,45.9160333333333,Auto
CAF2751479.1,72.9415666666667,Auto
CAF2751494.1,132.287568333333,Auto
CAF2751509.1,87.8318783333333,Auto
CAF2751516.1,14.5290853333333,Auto
CAF2751535.1,6.30587533333333,Auto
CAF2751551.1,75.0059868333333,Auto
CAF2751566.1,3.05342333333333,Auto
CAF2751582.1,33.38836,Auto
CAF2751594.1,6.41397616666667,Auto
CAF2751608.1,1.29722516666667,Auto
CAF2751611.1,9.74141666666667,Auto
CAF2751625.1,18.97927,Auto
